  #time                     mass                      x-momentum                y-momentum                z-momentum                E_internal+kinetic        E_kinetic_(from_vel)      E_internal                E_grav                    E_restmass                E_neutloss                mass_burned               mass_burned_to_NSQE       mass_burned_to_NSE        mass_burned_by_flame      estimated_Ni56_mass       mass_with_dens_>_1e9      mass_with_dens_>_3e8      mass_with_dens_>_1e8      mass_with_dens_>_3e7      mass_with_dens_>_2e7      mass_with_dens_>_1.5e7    mass_with_dens_>_1e7      mass_with_dens_>_7e6      mass_with_dens_>_3e6      mass_with_dens_>_1e6      burned_volume             maximum_density           minimum_flame_density     T_max                     Pressure_at_T_max        
  0.000000000000000000E+00  2.745879400916978725E+33  0.000000000000000000E+00  0.000000000000000000E+00  0.000000000000000000E+00  2.529622498838518559E+51  0.000000000000000000E+00  2.529622498838518559E+51 -3.038895536237103490E+51 -2.073969029206427534E+52  0.000000000000000000E+00  4.797459880954642514E+28  4.797459880954642514E+28  4.797459880954642514E+28  4.797459880954642514E+28  4.797459880954630199E+28  6.828009182267702459E+32  1.748487394432557102E+33  2.312048012437614069E+33  2.599569835264524649E+33  2.648737909044704096E+33  2.674266252624298955E+33  2.700178987749566258E+33  2.715707503509523698E+33  2.735394064979700970E+33  2.743540955758944653E+33  2.384523071642317619E+19  2.197129608136787891E+09  2.174564339957083702E+09  8.414673747746863365E+09  1.387011252900893852E+27
  6.395633237313615713E-05  2.745879400916990254E+33  1.378931012997936402E+24  1.551769626270965417E+25 -7.923173262332538705E+29  2.529623239234803230E+51  9.190603151332265467E+43  2.529623147328775165E+51 -3.038896056924016678E+51 -2.073969031340114415E+52  4.471602843197151421E+42  4.802753967665669598E+28  4.802753967665669598E+28  4.802650422704184916E+28  4.802753750076252074E+28  4.796825855317626358E+28  6.828013556059845744E+32  1.748487726961279972E+33  2.312048159908169776E+33  2.599569850921844894E+33  2.648737936883918627E+33  2.674266278449092140E+33  2.700179005118153481E+33  2.715707515748529680E+33  2.735394070268101183E+33  2.743540198635534963E+33  2.387080158430816256E+19  2.197042101723184586E+09  2.174609505020123005E+09  8.415869821218498230E+09  1.387080799379907637E+27
  1.343082979835859422E-04  2.745879400916986796E+33 -6.989102394647074916E+23  4.939595341081648894E+24 -1.491274487131335155E+30  2.529624050618017533E+51  9.431271742333364181E+43  2.529623956305302884E+51 -3.038896806182983509E+51 -2.073969033532121972E+52  9.394339905336867965E+42  4.808583338336910391E+28  4.808583338336910391E+28  4.808485522138537186E+28  4.808582923624561584E+28  4.796248820195347406E+28  6.828019975133665985E+32  1.748488215144262291E+33  2.312048361291094973E+33  2.599569872059598263E+33  2.648737972880921529E+33  2.674266316361705827E+33  2.700179030604113988E+33  2.715707533713365823E+33  2.735394078032779062E+33  2.743539861010813150E+33  2.389889316470336717E+19  2.197115944716004372E+09  2.174591310408174038E+09  8.416821822614312172E+09  1.387113992422089358E+27
  2.116954601550807044E-04  2.745879400916987949E+33 -1.275038950374804208E+24 -9.803632818437383464E+24 -2.260017986555694934E+30  2.529624941100167436E+51  9.559578848239635440E+43  2.529624845504377580E+51 -3.038897354977109879E+51 -2.073969035945452105E+52  1.481416651233424393E+43  4.815002623627107539E+28  4.815002623627107539E+28  4.814911636206260902E+28  4.815002029848214108E+28  4.795615379294035332E+28  6.828027032766409501E+32  1.748488750965656231E+33  2.312047934884081265E+33  2.599569604694319345E+33  2.648737942042020263E+33  2.674266358120063861E+33  2.700179058652125486E+33  2.715707553497565135E+33  2.735394086589227514E+33  2.743539587494119238E+33  2.392979794350256128E+19  2.197176757105740547E+09  2.174573305951282978E+09  8.417854467107675552E+09  1.387130935586548657E+27
  2.968213385437249645E-04  2.745879400916985066E+33 -5.100155801499216831E+23 -4.788479613629820247E+24 -3.105407949627600147E+30  2.529625918175438384E+51  9.555820065848480069E+43  2.529625822617238100E+51 -3.038896479277941882E+51 -2.073969038603842964E+52  2.078180504190822378E+43  4.822072325936121462E+28  4.822072325936121462E+28  4.821987968625522466E+28  4.822071553534071587E+28  4.794918682732245574E+28  6.828034789336624488E+32  1.748489338973867699E+33  2.311911572767148882E+33  2.599568757277099046E+33  2.648737868864656979E+33  2.674266394545693580E+33  2.700179089522232302E+33  2.715707575287366521E+33  2.735394095958654529E+33  2.743539339987782957E+33  2.396385341757775872E+19  2.197241464794111729E+09  2.174551054090508461E+09  8.418988518523730278E+09  1.387149024335410448E+27
  3.904598047712336587E-04  2.745879400916985643E+33  3.400103867666144554E+23  6.762428803469331946E+24 -4.035222907301906223E+30  2.529626989986009488E+51  9.450201384611843254E+43  2.529626895483999480E+51 -3.038895089749002993E+51 -2.073969041532892291E+52  2.735324553305359661E+43  4.829859342792927530E+28  4.829859342792927530E+28  4.829781250223609702E+28  4.829858393281876265E+28  4.794152596663099504E+28  6.828043311639827121E+32  1.748489984094183414E+33  2.311878749120437444E+33  2.599567628721413306E+33  2.648737790362085885E+33  2.674266442595012192E+33  2.700179123501469233E+33  2.715707599289432888E+33  2.735394104564053146E+33  2.743540024166810587E+33  2.400141230200563302E+19  2.197316119926059246E+09  2.174527894424587250E+09  8.420236052414478302E+09  1.387171359717405968E+27
  4.934621176214932332E-04  2.745879400916989678E+33  5.950181768415752969E+23  2.361183241434822607E+23 -5.058161949766173264E+30  2.529628165371678587E+51  9.352182623804415791E+43  2.529628071849855259E+51 -3.038892732853722004E+51 -2.073969044760638556E+52  3.459032068811241685E+43  4.838437601497833631E+28  4.838437601497833631E+28  4.838365384874992877E+28  4.838436492705461301E+28  4.793310841620605217E+28  6.828052673793801463E+32  1.748490691684567990E+33  2.311869258443274774E+33  2.599566322746472993E+33  2.648742955402367567E+33  2.674266496944630045E+33  2.700179160907313968E+33  2.715707625732260598E+33  2.735393812933685536E+33  2.743539639679256094E+33  2.404285240729236685E+19  2.197394968482407093E+09  2.174511705861458778E+09  8.421607963119392395E+09  1.387198044847748332E+27
  6.067646617567786947E-04  2.745879400916990254E+33  1.237260018511847046E+24 -2.729527827098654934E+24 -6.183543288343331520E+30  2.529629453916016698E+51  9.373589750675161493E+43  2.529629360180121534E+51 -3.038889613863283590E+51 -2.073969048318034161E+52  4.256133875159924260E+43  4.847888746154054496E+28  4.847888746154054496E+28  4.847822064524581583E+28  4.847887495972386606E+28  4.792386243626161979E+28  6.828062957068021843E+32  1.748491467546142552E+33  2.311857483416128446E+33  2.599564905881925393E+33  2.648748148133662063E+33  2.674266558421704332E+33  2.700179202089768111E+33  2.715707654868301414E+33  2.735393814195755849E+33  2.743539267534954745E+33  2.408859342694563840E+19  2.197462205274684429E+09  2.174512088705698967E+09  8.423112275467617989E+09  1.387223479058340661E+27
  7.313974603055927457E-04  2.745879400916986219E+33  9.350285636081897523E+23  4.533471823554859405E+23 -7.422147556808726308E+30  2.529630865992015374E+51  9.521692434231509660E+43  2.529630770775099030E+51 -3.038886608495853737E+51 -2.073969052239258344E+52  5.134179022055835227E+43  4.858302985179164485E+28  4.858302985179164485E+28  4.858241502014576725E+28  4.858301577963278229E+28  4.791370155887330132E+28  6.828074250348533867E+32  1.748492317991233905E+33  2.311820289621843931E+33  2.599563655973998841E+33  2.648748120712893474E+33  2.674266626139841906E+33  2.700179247435367043E+33  2.715707686977417231E+33  2.735393815435363215E+33  2.743538874991911759E+33  2.413909792329905357E+19  2.197499592031270504E+09  2.174539039381975174E+09  8.424767814416337013E+09  1.387257191878358996E+27
  8.684935387092883536E-04  2.745879400916990254E+33  1.252371591257029911E+25  1.606549077472253302E+25 -8.785818223627803520E+30  2.529632412815202978E+51  9.730737878817043945E+43  2.529632315507823057E+51 -3.038883915648019144E+51 -2.073969056562400132E+52  6.101513326521008430E+43  4.869780207053896145E+28  4.869780207053896145E+28  4.869723587640475025E+28  4.869778608192950210E+28  4.790253792517197719E+28  6.828086649240955548E+32  1.748493249790129455E+33  2.311810544769581537E+33  2.599562852232786302E+33  2.648748109168571697E+33  2.674266700732067002E+33  2.700179297372187061E+33  2.715707722369996423E+33  2.735393812904720113E+33  2.743538724042550304E+33  2.419488668980636058E+19  2.197516907210409641E+09  2.174602507630227089E+09  8.426612920375932693E+09  1.387337043440303424E+27
