# radius         dens           temp        c12          ne22
195
2.8742E+04  2.0000E+09  5.0000E+07  5.0000E-01  0.0000E+00
5.7484E+04  2.0000E+09  5.0000E+07  5.0000E-01  0.0000E+00
1.0266E+05  2.0000E+09  5.0000E+07  5.0000E-01  0.0000E+00
1.6880E+05  2.0000E+09  5.0000E+07  5.0000E-01  0.0000E+00
2.5999E+05  2.0000E+09  5.0000E+07  5.0000E-01  0.0000E+00
3.8020E+05  1.9999E+09  5.0000E+07  5.0000E-01  0.0000E+00
5.3313E+05  1.9998E+09  5.0000E+07  5.0000E-01  0.0000E+00
7.2230E+05  1.9996E+09  5.0000E+07  5.0000E-01  0.0000E+00
9.5101E+05  1.9994E+09  5.0000E+07  5.0000E-01  0.0000E+00
1.2224E+06  1.9990E+09  5.0000E+07  5.0000E-01  0.0000E+00
1.5394E+06  1.9984E+09  5.0000E+07  5.0000E-01  0.0000E+00
1.9049E+06  1.9975E+09  5.0000E+07  5.0000E-01  0.0000E+00
2.3215E+06  1.9963E+09  5.0000E+07  5.0000E-01  0.0000E+00
2.7920E+06  1.9946E+09  5.0000E+07  5.0000E-01  0.0000E+00
3.3188E+06  1.9924E+09  5.0000E+07  5.0000E-01  0.0000E+00
3.9044E+06  1.9895E+09  5.0000E+07  5.0000E-01  0.0000E+00
4.5512E+06  1.9858E+09  5.0000E+07  5.0000E-01  0.0000E+00
5.2616E+06  1.9811E+09  5.0000E+07  5.0000E-01  0.0000E+00
6.0380E+06  1.9751E+09  5.0000E+07  5.0000E-01  0.0000E+00
6.8827E+06  1.9677E+09  5.0000E+07  5.0000E-01  0.0000E+00
7.7981E+06  1.9587E+09  5.0000E+07  5.0000E-01  0.0000E+00
8.7866E+06  1.9477E+09  5.0000E+07  5.0000E-01  0.0000E+00
9.8509E+06  1.9346E+09  5.0000E+07  5.0000E-01  0.0000E+00
1.0993E+07  1.9189E+09  5.0000E+07  5.0000E-01  0.0000E+00
