# radius     dens           temp        c12          ne22
281
4.00000E+05  2.19990E+09  6.99980E+08  5.00000E-01  0.00000E+00  
1.20000E+06  2.19885E+09  6.99810E+08  5.00000E-01  0.00000E+00  
2.00000E+06  2.19683E+09  6.99476E+08  5.00000E-01  0.00000E+00  
2.80000E+06  2.19380E+09  6.98980E+08  5.00000E-01  0.00000E+00  
3.60000E+06  2.18972E+09  6.98314E+08  5.00000E-01  0.00000E+00  
4.40000E+06  2.18463E+09  6.97483E+08  5.00000E-01  0.00000E+00  
5.20000E+06  2.17856E+09  6.96491E+08  5.00000E-01  0.00000E+00  
6.00000E+06  2.17149E+09  6.95332E+08  5.00000E-01  0.00000E+00  
6.80000E+06  2.16347E+09  6.94016E+08  5.00000E-01  0.00000E+00  
7.60000E+06  2.15443E+09  6.92532E+08  5.00000E-01  0.00000E+00  
8.40000E+06  2.14449E+09  6.90896E+08  5.00000E-01  0.00000E+00  
9.20000E+06  2.13365E+09  6.89099E+08  5.00000E-01  0.00000E+00  
1.00000E+07  2.12193E+09  6.87158E+08  5.00000E-01  0.00000E+00  
1.08000E+07  2.10928E+09  6.85046E+08  5.00000E-01  0.00000E+00  
1.16000E+07  2.09573E+09  6.82786E+08  5.00000E-01  0.00000E+00  
1.24000E+07  2.08137E+09  6.80388E+08  5.00000E-01  0.00000E+00  
1.32000E+07  2.06623E+09  6.77842E+08  5.00000E-01  0.00000E+00  
1.40000E+07  2.05025E+09  6.75155E+08  5.00000E-01  0.00000E+00  
1.48000E+07  2.03351E+09  6.72322E+08  5.00000E-01  0.00000E+00  
1.56000E+07  2.01597E+09  6.69344E+08  5.00000E-01  0.00000E+00  
1.64000E+07  1.99777E+09  6.66227E+08  5.00000E-01  0.00000E+00  
1.72000E+07  1.97881E+09  6.62978E+08  5.00000E-01  0.00000E+00  
1.80000E+07  1.95924E+09  6.59608E+08  5.00000E-01  0.00000E+00  
1.88000E+07  1.93906E+09  6.56109E+08  5.00000E-01  0.00000E+00  
1.96000E+07  1.91828E+09  6.52492E+08  5.00000E-01  0.00000E+00  
2.04000E+07  1.89695E+09  6.48765E+08  5.00000E-01  0.00000E+00  
2.12000E+07  1.87514E+09  6.44913E+08  5.00000E-01  0.00000E+00  
2.20000E+07  1.85264E+09  6.40938E+08  5.00000E-01  0.00000E+00  
2.28000E+07  1.82974E+09  6.36860E+08  5.00000E-01  0.00000E+00  
2.36000E+07  1.80646E+09  6.32685E+08  5.00000E-01  0.00000E+00  
2.44000E+07  1.78276E+09  6.28410E+08  5.00000E-01  0.00000E+00  
2.52000E+07  1.75860E+09  6.24010E+08  5.00000E-01  0.00000E+00  
2.60000E+07  1.73417E+09  6.19537E+08  5.00000E-01  0.00000E+00  
2.68000E+07  1.70948E+09  6.14988E+08  5.00000E-01  0.00000E+00  
2.76000E+07  1.68430E+09  6.10313E+08  5.00000E-01  0.00000E+00  
2.84000E+07  1.65899E+09  6.05588E+08  5.00000E-01  0.00000E+00  
2.92000E+07  1.63347E+09  6.00769E+08  5.00000E-01  0.00000E+00  
3.00000E+07  1.60774E+09  5.95877E+08  5.00000E-01  0.00000E+00  
3.08000E+07  1.58185E+09  5.90928E+08  5.00000E-01  0.00000E+00  
3.16000E+07  1.55576E+09  5.85886E+08  5.00000E-01  0.00000E+00  
3.24000E+07  1.52958E+09  5.80808E+08  5.00000E-01  0.00000E+00  
3.32000E+07  1.50333E+09  5.75642E+08  5.00000E-01  0.00000E+00  
3.40000E+07  1.47705E+09  5.70447E+08  5.00000E-01  0.00000E+00  
3.48000E+07  1.45071E+09  5.65178E+08  5.00000E-01  0.00000E+00  
3.56000E+07  1.42433E+09  5.59863E+08  5.00000E-01  0.00000E+00  
3.64000E+07  1.39799E+09  5.54521E+08  5.00000E-01  0.00000E+00  
3.72000E+07  1.37175E+09  5.49106E+08  5.00000E-01  0.00000E+00  
3.80000E+07  1.34552E+09  5.43690E+08  5.00000E-01  0.00000E+00  
3.88000E+07  1.31945E+09  5.38210E+08  5.00000E-01  0.00000E+00  
3.96000E+07  1.29345E+09  5.32698E+08  5.00000E-01  0.00000E+00  
4.04000E+07  1.26745E+09  5.27185E+08  5.00000E-01  0.00000E+00  
4.12000E+07  1.24180E+09  5.21619E+08  5.00000E-01  0.00000E+00  
4.20000E+07  1.21628E+09  5.16033E+08  5.00000E-01  0.00000E+00  
4.28000E+07  1.19076E+09  5.10447E+08  5.00000E-01  0.00000E+00  
4.36000E+07  1.16550E+09  5.04845E+08  5.00000E-01  0.00000E+00  
4.44000E+07  1.14076E+09  4.99213E+08  5.00000E-01  0.00000E+00  
4.52000E+07  1.11603E+09  4.93580E+08  5.00000E-01  0.00000E+00  
4.60000E+07  1.09129E+09  4.87948E+08  5.00000E-01  0.00000E+00  
4.68000E+07  1.06689E+09  4.82314E+08  5.00000E-01  0.00000E+00  
4.76000E+07  1.04335E+09  4.76677E+08  5.00000E-01  0.00000E+00  
4.84000E+07  1.01981E+09  4.71040E+08  5.00000E-01  0.00000E+00  
4.92000E+07  9.96269E+08  4.65404E+08  5.00000E-01  0.00000E+00  
5.00000E+07  9.72730E+08  4.59767E+08  5.00000E-01  0.00000E+00  
5.08000E+07  9.49540E+08  4.54142E+08  5.00000E-01  0.00000E+00  
5.16000E+07  9.27585E+08  4.48558E+08  5.00000E-01  0.00000E+00  
5.24000E+07  9.05631E+08  4.42975E+08  5.00000E-01  0.00000E+00  
5.32000E+07  8.83676E+08  4.37391E+08  5.00000E-01  0.00000E+00  
5.40000E+07  8.61722E+08  4.31808E+08  5.00000E-01  0.00000E+00  
5.48000E+07  8.40023E+08  4.26241E+08  5.00000E-01  0.00000E+00  
5.56000E+07  8.19718E+08  4.20762E+08  5.00000E-01  0.00000E+00  
5.64000E+07  7.99413E+08  4.15283E+08  5.00000E-01  0.00000E+00  
5.72000E+07  7.79108E+08  4.09804E+08  5.00000E-01  0.00000E+00  
5.80000E+07  7.58803E+08  4.04325E+08  5.00000E-01  0.00000E+00  
5.88000E+07  7.39352E+08  3.98917E+08  5.00000E-01  0.00000E+00  
5.96000E+07  7.20656E+08  3.93572E+08  5.00000E-01  0.00000E+00  
6.04000E+07  7.01961E+08  3.88226E+08  5.00000E-01  0.00000E+00  
6.12000E+07  6.83266E+08  3.82881E+08  5.00000E-01  0.00000E+00  
6.20000E+07  6.64693E+08  3.77548E+08  5.00000E-01  0.00000E+00  
6.28000E+07  6.47570E+08  3.72360E+08  5.00000E-01  0.00000E+00  
6.36000E+07  6.30447E+08  3.67172E+08  5.00000E-01  0.00000E+00  
6.44000E+07  6.13324E+08  3.61984E+08  5.00000E-01  0.00000E+00  
6.52000E+07  5.96201E+08  3.56796E+08  5.00000E-01  0.00000E+00  
6.60000E+07  5.80147E+08  3.51729E+08  5.00000E-01  0.00000E+00  
6.68000E+07  5.64558E+08  3.46715E+08  5.00000E-01  0.00000E+00  
6.76000E+07  5.48969E+08  3.41702E+08  5.00000E-01  0.00000E+00  
6.84000E+07  5.33381E+08  3.36688E+08  5.00000E-01  0.00000E+00  
6.92000E+07  5.18300E+08  3.31741E+08  5.00000E-01  0.00000E+00  
7.00000E+07  5.04176E+08  3.26920E+08  5.00000E-01  0.00000E+00  
7.08000E+07  4.90052E+08  3.22099E+08  5.00000E-01  0.00000E+00  
7.16000E+07  4.75928E+08  3.17279E+08  5.00000E-01  0.00000E+00  
7.24000E+07  4.61808E+08  3.12458E+08  5.00000E-01  0.00000E+00  
7.32000E+07  4.49087E+08  3.07838E+08  5.00000E-01  0.00000E+00  
7.40000E+07  4.36365E+08  3.03218E+08  5.00000E-01  0.00000E+00  
7.48000E+07  4.23644E+08  2.98597E+08  5.00000E-01  0.00000E+00  
7.56000E+07  4.10922E+08  2.93977E+08  5.00000E-01  0.00000E+00  
7.64000E+07  3.99059E+08  2.89494E+08  5.00000E-01  0.00000E+00  
7.72000E+07  3.87658E+08  2.85085E+08  5.00000E-01  0.00000E+00  
7.80000E+07  3.76256E+08  2.80676E+08  5.00000E-01  0.00000E+00  
7.88000E+07  3.64855E+08  2.76267E+08  5.00000E-01  0.00000E+00  
7.96000E+07  3.53789E+08  2.71917E+08  5.00000E-01  0.00000E+00  
8.04000E+07  3.43619E+08  2.67723E+08  5.00000E-01  0.00000E+00  
8.12000E+07  3.33449E+08  2.63529E+08  5.00000E-01  0.00000E+00  
8.20000E+07  3.23279E+08  2.59334E+08  5.00000E-01  0.00000E+00  
8.28000E+07  3.13109E+08  2.55140E+08  5.00000E-01  0.00000E+00  
8.36000E+07  3.03931E+08  2.51134E+08  5.00000E-01  0.00000E+00  
8.44000E+07  2.94898E+08  2.47155E+08  5.00000E-01  0.00000E+00  
8.52000E+07  2.85866E+08  2.43176E+08  5.00000E-01  0.00000E+00  
8.60000E+07  2.76834E+08  2.39198E+08  5.00000E-01  0.00000E+00  
8.68000E+07  2.68249E+08  2.35311E+08  5.00000E-01  0.00000E+00  
8.76000E+07  2.60269E+08  2.31548E+08  5.00000E-01  0.00000E+00  
8.84000E+07  2.52289E+08  2.27784E+08  5.00000E-01  0.00000E+00  
8.92000E+07  2.44309E+08  2.24021E+08  5.00000E-01  0.00000E+00  
9.00000E+07  2.36329E+08  2.20258E+08  5.00000E-01  0.00000E+00  
9.08000E+07  2.29241E+08  2.16697E+08  5.00000E-01  0.00000E+00  
9.16000E+07  2.22221E+08  2.13151E+08  5.00000E-01  0.00000E+00  
9.24000E+07  2.15202E+08  2.09605E+08  5.00000E-01  0.00000E+00  
9.32000E+07  2.08182E+08  2.06059E+08  5.00000E-01  0.00000E+00  
9.40000E+07  2.01494E+08  2.02592E+08  5.00000E-01  0.00000E+00  
9.48000E+07  1.95347E+08  1.99255E+08  5.00000E-01  0.00000E+00  
9.56000E+07  1.89199E+08  1.95918E+08  5.00000E-01  0.00000E+00  
9.64000E+07  1.83052E+08  1.92581E+08  5.00000E-01  0.00000E+00  
9.72000E+07  1.76905E+08  1.89244E+08  5.00000E-01  0.00000E+00  
9.80000E+07  1.71365E+08  1.86069E+08  5.00000E-01  0.00000E+00  
9.88000E+07  1.66011E+08  1.82943E+08  5.00000E-01  0.00000E+00  
9.96000E+07  1.60658E+08  1.79818E+08  5.00000E-01  0.00000E+00  
1.00400E+08  1.55305E+08  1.76692E+08  5.00000E-01  0.00000E+00  
1.01200E+08  1.50013E+08  1.73584E+08  5.00000E-01  0.00000E+00  
1.02000E+08  1.45367E+08  1.70660E+08  5.00000E-01  0.00000E+00  
1.02800E+08  1.40721E+08  1.67736E+08  5.00000E-01  0.00000E+00  
1.03600E+08  1.36074E+08  1.64812E+08  5.00000E-01  0.00000E+00  
1.04400E+08  1.31428E+08  1.61887E+08  5.00000E-01  0.00000E+00  
1.05200E+08  1.26994E+08  1.59028E+08  5.00000E-01  0.00000E+00  
1.06000E+08  1.22975E+08  1.56295E+08  5.00000E-01  0.00000E+00  
1.06800E+08  1.18957E+08  1.53562E+08  5.00000E-01  0.00000E+00  
1.07600E+08  1.14938E+08  1.50829E+08  5.00000E-01  0.00000E+00  
1.08400E+08  1.10919E+08  1.48096E+08  5.00000E-01  0.00000E+00  
1.09200E+08  1.07182E+08  1.45456E+08  5.00000E-01  0.00000E+00  
1.10000E+08  1.03725E+08  1.42907E+08  5.00000E-01  0.00000E+00  
1.10800E+08  1.00268E+08  1.40358E+08  5.00000E-01  0.00000E+00  
1.11600E+08  9.68109E+07  1.37810E+08  5.00000E-01  0.00000E+00  
1.12400E+08  9.33540E+07  1.35261E+08  5.00000E-01  0.00000E+00  
1.13200E+08  9.01941E+07  1.32822E+08  5.00000E-01  0.00000E+00  
1.14000E+08  8.72429E+07  1.30460E+08  5.00000E-01  0.00000E+00  
1.14800E+08  8.42917E+07  1.28098E+08  5.00000E-01  0.00000E+00  
1.15600E+08  8.13404E+07  1.25736E+08  5.00000E-01  0.00000E+00  
1.16400E+08  7.83892E+07  1.23373E+08  5.00000E-01  0.00000E+00  
1.17200E+08  7.56879E+07  1.21111E+08  5.00000E-01  0.00000E+00  
1.18000E+08  7.31811E+07  1.18927E+08  5.00000E-01  0.00000E+00  
1.18800E+08  7.06743E+07  1.16742E+08  5.00000E-01  0.00000E+00  
1.19600E+08  6.81675E+07  1.14558E+08  5.00000E-01  0.00000E+00  
1.20400E+08  6.56607E+07  1.12373E+08  5.00000E-01  0.00000E+00  
1.21200E+08  6.33119E+07  1.10254E+08  5.00000E-01  0.00000E+00  
1.22000E+08  6.11879E+07  1.08228E+08  5.00000E-01  0.00000E+00  
1.22800E+08  5.90639E+07  1.06201E+08  5.00000E-01  0.00000E+00  
1.23600E+08  5.69399E+07  1.04174E+08  5.00000E-01  0.00000E+00  
1.24400E+08  5.48159E+07  1.02148E+08  5.00000E-01  0.00000E+00  
1.25200E+08  5.27060E+07  1.00123E+08  5.00000E-01  0.00000E+00  
1.26000E+08  5.08220E+07  1.00000E+08  5.00000E-01  0.00000E+00  
1.26800E+08  4.89682E+07  1.00000E+08  5.00000E-01  0.00000E+00  
1.27600E+08  4.72865E+07  1.00000E+08  5.00000E-01  0.00000E+00  
1.28400E+08  4.56213E+07  1.00000E+08  5.00000E-01  0.00000E+00  
1.29200E+08  4.39562E+07  1.00000E+08  5.00000E-01  0.00000E+00  
1.30000E+08  4.22910E+07  1.00000E+08  5.00000E-01  0.00000E+00  
1.30800E+08  4.06258E+07  1.00000E+08  5.00000E-01  0.00000E+00  
1.31600E+08  3.91338E+07  1.00000E+08  5.00000E-01  0.00000E+00  
1.32400E+08  3.77351E+07  1.00000E+08  5.00000E-01  0.00000E+00  
1.33200E+08  3.63364E+07  1.00000E+08  5.00000E-01  0.00000E+00  
1.34000E+08  3.49377E+07  1.00000E+08  5.00000E-01  0.00000E+00  
1.34800E+08  3.35390E+07  1.00000E+08  5.00000E-01  0.00000E+00  
1.35600E+08  3.22783E+07  1.00000E+08  5.00000E-01  0.00000E+00  
1.36400E+08  3.11146E+07  1.00000E+08  5.00000E-01  0.00000E+00  
1.37200E+08  2.99509E+07  1.00000E+08  5.00000E-01  0.00000E+00  
1.38000E+08  2.87871E+07  1.00000E+08  5.00000E-01  0.00000E+00  
1.38800E+08  2.76234E+07  1.00000E+08  5.00000E-01  0.00000E+00  
1.39600E+08  2.64597E+07  1.00000E+08  5.00000E-01  0.00000E+00  
1.40400E+08  2.54476E+07  1.00000E+08  5.00000E-01  0.00000E+00  
1.41200E+08  2.45045E+07  1.00000E+08  5.00000E-01  0.00000E+00  
1.42000E+08  2.35614E+07  1.00000E+08  5.00000E-01  0.00000E+00  
1.42800E+08  2.26183E+07  1.00000E+08  5.00000E-01  0.00000E+00  
1.43600E+08  2.16751E+07  1.00000E+08  5.00000E-01  0.00000E+00  
1.44400E+08  2.07320E+07  1.00000E+08  5.00000E-01  0.00000E+00  
1.45200E+08  1.98541E+07  1.00000E+08  5.00000E-01  0.00000E+00  
1.46000E+08  1.90972E+07  1.00000E+08  5.00000E-01  0.00000E+00  
1.46800E+08  1.83404E+07  1.00000E+08  5.00000E-01  0.00000E+00  
1.47600E+08  1.75835E+07  1.00000E+08  5.00000E-01  0.00000E+00  
1.48400E+08  1.68267E+07  1.00000E+08  5.00000E-01  0.00000E+00  
1.49200E+08  1.60698E+07  1.00000E+08  5.00000E-01  0.00000E+00  
1.50000E+08  1.53335E+07  1.00000E+08  5.00000E-01  0.00000E+00  
1.50800E+08  1.47263E+07  1.00000E+08  5.00000E-01  0.00000E+00  
1.51600E+08  1.41191E+07  1.00000E+08  5.00000E-01  0.00000E+00  
1.52400E+08  1.35119E+07  1.00000E+08  5.00000E-01  0.00000E+00  
1.53200E+08  1.29047E+07  1.00000E+08  5.00000E-01  0.00000E+00  
1.54000E+08  1.22976E+07  1.00000E+08  5.00000E-01  0.00000E+00  
1.54800E+08  1.16904E+07  1.00000E+08  5.00000E-01  0.00000E+00  
1.55600E+08  1.11862E+07  1.00000E+08  5.00000E-01  0.00000E+00  
1.56400E+08  1.06874E+07  1.00000E+08  5.00000E-01  0.00000E+00  
1.57200E+08  1.01886E+07  1.00000E+08  5.00000E-01  0.00000E+00  
1.58000E+08  9.68982E+06  1.00000E+08  5.00000E-01  0.00000E+00  
1.58800E+08  9.22992E+06  1.00000E+08  5.00000E-01  0.00000E+00  
1.59600E+08  8.80521E+06  1.00000E+08  5.00000E-01  0.00000E+00  
1.60400E+08  8.38049E+06  1.00000E+08  5.00000E-01  0.00000E+00  
1.61200E+08  7.95577E+06  1.00000E+08  5.00000E-01  0.00000E+00  
1.62000E+08  7.55146E+06  1.00000E+08  5.00000E-01  0.00000E+00  
1.62800E+08  7.18720E+06  1.00000E+08  5.00000E-01  0.00000E+00  
1.63600E+08  6.82294E+06  1.00000E+08  5.00000E-01  0.00000E+00  
1.64400E+08  6.45868E+06  1.00000E+08  5.00000E-01  0.00000E+00  
1.65200E+08  6.11956E+06  1.00000E+08  5.00000E-01  0.00000E+00  
1.66000E+08  5.80437E+06  1.00000E+08  5.00000E-01  0.00000E+00  
1.66800E+08  5.48917E+06  1.00000E+08  5.00000E-01  0.00000E+00  
1.67600E+08  5.17398E+06  1.00000E+08  5.00000E-01  0.00000E+00  
1.68400E+08  4.89942E+06  1.00000E+08  5.00000E-01  0.00000E+00  
1.69200E+08  4.62591E+06  1.00000E+08  5.00000E-01  0.00000E+00  
1.70000E+08  4.35239E+06  1.00000E+08  5.00000E-01  0.00000E+00  
1.70800E+08  4.10064E+06  1.00000E+08  5.00000E-01  0.00000E+00  
1.71600E+08  3.85936E+06  1.00000E+08  5.00000E-01  0.00000E+00  
1.72400E+08  3.61808E+06  1.00000E+08  5.00000E-01  0.00000E+00  
1.73200E+08  3.39579E+06  1.00000E+08  5.00000E-01  0.00000E+00  
1.74000E+08  3.18489E+06  1.00000E+08  5.00000E-01  0.00000E+00  
1.74800E+08  2.97399E+06  1.00000E+08  5.00000E-01  0.00000E+00  
1.75600E+08  2.78081E+06  1.00000E+08  5.00000E-01  0.00000E+00  
1.76400E+08  2.59315E+06  1.00000E+08  5.00000E-01  0.00000E+00  
1.77200E+08  2.40790E+06  1.00000E+08  5.00000E-01  0.00000E+00  
1.78000E+08  2.24172E+06  1.00000E+08  5.00000E-01  0.00000E+00  
1.78800E+08  2.07554E+06  1.00000E+08  5.00000E-01  0.00000E+00  
1.79600E+08  1.92067E+06  1.00000E+08  5.00000E-01  0.00000E+00  
1.80400E+08  1.77224E+06  1.00000E+08  5.00000E-01  0.00000E+00  
1.81200E+08  1.62935E+06  1.00000E+08  5.00000E-01  0.00000E+00  
1.82000E+08  1.49735E+06  1.00000E+08  5.00000E-01  0.00000E+00  
1.82800E+08  1.36767E+06  1.00000E+08  5.00000E-01  0.00000E+00  
1.83600E+08  1.24802E+06  1.00000E+08  5.00000E-01  0.00000E+00  
1.84400E+08  1.13102E+06  1.00000E+08  5.00000E-01  0.00000E+00  
1.85200E+08  1.02382E+06  1.00000E+08  5.00000E-01  0.00000E+00  
1.86000E+08  9.20857E+05  9.85714E+07  5.00000E-01  0.00000E+00  
1.86800E+08  8.24956E+05  9.71429E+07  5.00000E-01  0.00000E+00  
1.87600E+08  7.34481E+05  9.57143E+07  5.00000E-01  0.00000E+00  
1.88400E+08  6.47651E+05  9.42857E+07  5.00000E-01  0.00000E+00  
