# radius     dens           temp        c12          ne22
232
4.00000E+05  2.89980E+09  5.00000E+05  5.00000E-01  2.50000E-02  
1.20000E+06  2.89819E+09  5.00000E+05  5.00000E-01  2.50000E-02  
2.00000E+06  2.89498E+09  5.00000E+05  5.00000E-01  2.50000E-02  
2.80000E+06  2.89017E+09  5.00000E+05  5.00000E-01  2.50000E-02  
3.60000E+06  2.88376E+09  5.00000E+05  5.00000E-01  2.50000E-02  
4.40000E+06  2.87579E+09  5.00000E+05  5.00000E-01  2.50000E-02  
5.20000E+06  2.86628E+09  5.00000E+05  5.00000E-01  2.50000E-02  
6.00000E+06  2.85521E+09  5.00000E+05  5.00000E-01  2.50000E-02  
6.80000E+06  2.84259E+09  5.00000E+05  5.00000E-01  2.50000E-02  
7.60000E+06  2.82851E+09  5.00000E+05  5.00000E-01  2.50000E-02  
8.40000E+06  2.81294E+09  5.00000E+05  5.00000E-01  2.50000E-02  
9.20000E+06  2.79595E+09  5.00000E+05  5.00000E-01  2.50000E-02  
1.00000E+07  2.77752E+09  5.00000E+05  5.00000E-01  2.50000E-02  
1.08000E+07  2.75780E+09  5.00000E+05  5.00000E-01  2.50000E-02  
1.16000E+07  2.73673E+09  5.00000E+05  5.00000E-01  2.50000E-02  
1.24000E+07  2.71442E+09  5.00000E+05  5.00000E-01  2.50000E-02  
1.32000E+07  2.69083E+09  5.00000E+05  5.00000E-01  2.50000E-02  
1.40000E+07  2.66604E+09  5.00000E+05  5.00000E-01  2.50000E-02  
1.48000E+07  2.64021E+09  5.00000E+05  5.00000E-01  2.50000E-02  
1.56000E+07  2.61340E+09  5.00000E+05  5.00000E-01  2.50000E-02  
1.64000E+07  2.58521E+09  5.00000E+05  5.00000E-01  2.50000E-02  
1.72000E+07  2.55605E+09  5.00000E+05  5.00000E-01  2.50000E-02  
1.80000E+07  2.52618E+09  5.00000E+05  5.00000E-01  2.50000E-02  
1.88000E+07  2.49524E+09  5.00000E+05  5.00000E-01  2.50000E-02  
1.96000E+07  2.46350E+09  5.00000E+05  5.00000E-01  2.50000E-02  
2.04000E+07  2.43120E+09  5.00000E+05  5.00000E-01  2.50000E-02  
2.12000E+07  2.39781E+09  5.00000E+05  5.00000E-01  2.50000E-02  
2.20000E+07  2.36424E+09  5.00000E+05  5.00000E-01  2.50000E-02  
2.28000E+07  2.32944E+09  5.00000E+05  5.00000E-01  2.50000E-02  
2.36000E+07  2.29463E+09  5.00000E+05  5.00000E-01  2.50000E-02  
2.44000E+07  2.25877E+09  5.00000E+05  5.00000E-01  2.50000E-02  
2.52000E+07  2.22288E+09  5.00000E+05  5.00000E-01  2.50000E-02  
